City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Habiganj,BD,24.3833,91.4167,63.28,53,5,6.26,clear sky
260,Port Hardy,CA,50.6996,-127.4199,35.76,100,0,2.3,clear sky
261,Ewo,CG,-0.8725,14.8206,92.01,35,80,0.2,broken clouds
262,Bose,IT,45.4612,8.0137,56.5,48,100,2.19,overcast clouds
263,Avera,US,33.194,-82.5271,34.92,46,0,10.2,clear sky
264,Ambovombe,MG,-25.1667,46.0833,77.74,65,0,21.3,clear sky
265,Tenamaxtlan,MX,20.2167,-104.1667,54.55,64,89,1.28,overcast clouds
266,Helmstedt,DE,52.2279,11.0099,44.22,93,100,23.42,overcast clouds
267,Honiara,SB,-9.4333,159.95,77.58,93,83,7.87,broken clouds
268,Sao Desiderio,BR,-12.3633,-44.9733,71.11,90,100,1.97,overcast clouds
269,Klaksvik,FO,62.2266,-6.589,38.32,66,92,11.03,overcast clouds
270,Georgetown,MY,5.4112,100.3354,84.13,78,20,7.0,few clouds
271,Chimbote,PE,-9.0853,-78.5783,72.25,79,95,7.54,overcast clouds
272,Bambous Virieux,MU,-20.3428,57.7575,83.21,65,40,11.5,scattered clouds
273,Iralaya,HN,15.0,-83.2333,79.39,70,2,7.16,clear sky
274,Kommunar,RU,59.6206,30.39,29.35,95,100,9.17,light snow
275,Bilma,NE,18.6853,12.9164,70.93,18,7,6.78,clear sky
276,Padang,ID,-0.9492,100.3543,80.65,86,100,3.44,overcast clouds
277,Dingle,PH,10.9995,122.6711,76.19,91,84,6.15,broken clouds
278,Ahuimanu,US,21.4447,-157.8378,71.46,87,0,4.61,clear sky
279,Ostrovnoy,RU,68.0531,39.5131,22.06,90,100,18.03,overcast clouds
280,Necochea,AR,-38.5473,-58.7368,67.03,52,0,12.8,clear sky
281,Payson,US,40.0444,-111.7321,28.42,79,0,1.99,clear sky
282,Vila Velha,BR,-20.3297,-40.2925,85.95,64,0,11.01,clear sky
283,Pirapozinho,BR,-22.2753,-51.5,83.68,70,20,10.36,few clouds
284,Bara,NG,10.3744,10.7288,90.86,14,39,10.6,scattered clouds
285,Kizukuri,JP,40.8061,140.3861,30.11,84,100,8.01,light snow
286,Ko Samui,TH,9.5357,99.9357,82.31,78,20,10.36,few clouds
287,Homer,US,59.6425,-151.5483,28.27,93,100,11.97,snow
288,Vostok,RU,46.4856,135.8833,-7.65,99,100,4.7,overcast clouds
289,Opotiki,NZ,-38.0833,177.2833,55.67,70,0,8.41,clear sky
290,Half Moon Bay,US,37.4636,-122.4286,54.1,75,0,0.0,mist
291,Vardo,NO,70.3705,31.1107,17.8,83,100,8.81,overcast clouds
292,Mumford,GH,5.2618,-0.759,84.15,61,6,11.5,clear sky
293,Severo-Kurilsk,RU,50.6789,156.125,24.3,71,91,36.24,overcast clouds
294,Marathon,US,44.9,-89.7668,24.33,88,100,9.22,overcast clouds
295,Solnechnyy,RU,50.7214,136.6319,-4.63,100,100,2.08,overcast clouds
296,Codrington,AU,-38.2667,141.9667,69.64,91,6,1.48,clear sky
297,Hasaki,JP,35.7333,140.8333,41.4,51,100,11.18,overcast clouds
298,Banavar,IN,13.4136,76.1683,75.61,53,100,12.97,overcast clouds
299,Adamas,GR,36.7333,24.4333,49.08,58,19,11.92,few clouds
300,Saint-Pierre,RE,-21.3393,55.4781,83.84,65,20,14.97,few clouds
301,Allahganj,IN,27.55,79.6833,54.23,67,0,7.34,clear sky
302,Husavik,IS,66.0449,-17.3389,35.51,77,89,11.92,overcast clouds
303,Safranbolu,TR,41.2508,32.6942,28.13,91,100,3.22,light snow
304,Krasnoyarskiy,RU,51.965,59.8967,17.42,98,100,4.54,overcast clouds
305,Aklavik,CA,68.2191,-135.0107,-8.68,90,100,4.56,overcast clouds
306,Sassari,IT,40.7272,8.5603,55.18,63,58,8.72,broken clouds
307,General Roca,AR,-39.0333,-67.5833,72.0,28,0,17.4,clear sky
308,Edd,ER,13.9297,41.6925,82.36,59,0,11.45,clear sky
309,Mbaiki,CF,3.8678,17.9892,99.86,11,50,4.65,scattered clouds
310,Cobija,BO,-11.0267,-68.7692,78.98,89,75,3.44,broken clouds
311,Selikhino,RU,50.3672,137.4996,-1.59,97,100,5.55,overcast clouds
312,Makakilo City,US,21.3469,-158.0858,70.29,85,0,4.61,clear sky
313,Vao,NC,-22.6667,167.4833,78.51,85,43,12.53,scattered clouds
314,Xiongyue,CN,40.1774,122.1228,17.46,60,3,6.64,clear sky
315,Ajdabiya,LY,30.7554,20.2263,56.3,66,88,8.75,overcast clouds
316,Bend,US,44.0582,-121.3153,24.66,93,100,0.0,fog
317,Maralal,KE,1.0968,36.698,72.91,30,96,9.86,overcast clouds
318,Kokkola,FI,63.8385,23.1307,32.16,93,100,2.3,overcast clouds
319,Galle,LK,6.0367,80.217,78.06,75,100,6.2,overcast clouds
320,Bemidji,US,47.4736,-94.8803,14.29,79,100,16.11,overcast clouds
321,Borogontsy,RU,62.6683,131.1683,-31.79,99,100,1.74,overcast clouds
322,Zhuhai,CN,22.2769,113.5678,69.91,88,20,3.44,few clouds
323,Saldanha,ZA,-33.0117,17.9442,78.85,78,0,23.71,clear sky
324,North Bend,US,43.4065,-124.2243,41.86,76,1,4.03,clear sky
325,Fairbanks,US,64.8378,-147.7164,-10.39,76,0,0.0,clear sky
326,Burkburnett,US,34.0979,-98.5706,31.78,86,100,3.44,overcast clouds
327,Teguldet,RU,57.3064,88.1667,-6.14,100,75,3.2,broken clouds
328,Ugoofaaru,MV,5.6667,73.0,79.5,57,28,8.32,scattered clouds
329,Ler,SS,8.3018,30.1418,92.08,12,3,9.24,clear sky
330,Santa Helena,BR,-2.2311,-45.3,75.06,95,99,3.36,overcast clouds
331,Pangnirtung,CA,66.1451,-65.7125,-22.0,52,0,3.44,clear sky
332,Soyo,AO,-6.1349,12.3689,86.05,67,7,11.41,clear sky
333,Simao,CN,22.7886,100.9748,53.82,89,29,1.59,scattered clouds
334,Mongoumba,CF,3.6415,18.5936,100.94,11,13,5.06,few clouds
335,Shimoda,JP,34.6667,138.95,49.33,72,96,5.3,overcast clouds
336,Karaton,ID,-6.3424,106.1045,80.76,89,100,2.53,overcast clouds
337,Grand Gaube,MU,-20.0064,57.6608,83.37,54,33,5.99,scattered clouds
338,Egvekinot,RU,66.3167,-179.1667,-12.98,97,99,1.97,overcast clouds
339,Akyab,MM,20.15,92.9,72.45,66,0,12.41,clear sky
340,Aitape,PG,-3.1374,142.3475,78.71,85,100,1.66,overcast clouds
341,Bondo,CD,3.8146,23.6866,98.94,13,87,4.27,overcast clouds
342,Mayo,US,38.8876,-76.5119,28.56,70,0,3.85,clear sky
343,Westerland,DE,54.9079,8.3033,45.18,76,40,26.46,scattered clouds
