City_ID,City,Cloudiness,Wind Speed,Country,Date,Lat,Lng,Max Temp,Humidity
242,Kerema,66,6.73,PG,2022-01-26 01:08:18,-7.9631,145.7785,84.7,75
243,Talnakh,90,12.19,RU,2022-01-26 01:08:18,69.4865,88.3972,1.2,96
244,Dabat,11,4.83,ET,2022-01-26 01:08:18,12.9842,37.765,52.32,35
245,Grand Gaube,1,1.99,MU,2022-01-26 01:08:19,-20.0064,57.6608,75.6,75
246,Pretoria,100,8.23,ZA,2022-01-26 01:08:19,-25.7449,28.1878,67.75,73
247,Nome,20,0.0,US,2022-01-26 01:08:19,64.5011,-165.4064,-7.53,84
248,Okhotsk,100,8.03,RU,2022-01-26 01:08:19,59.3833,143.3,-3.69,95
249,La Ronge,100,13.78,CA,2022-01-26 01:08:20,55.1001,-105.2842,18.79,93
250,Hasaki,100,19.37,JP,2022-01-26 01:08:20,35.7333,140.8333,39.6,85
251,Faya,22,4.14,SA,2022-01-26 01:08:20,18.3851,42.4509,50.52,81
252,Hithadhoo,100,17.94,MV,2022-01-26 01:08:21,-0.6,73.0833,81.1,67
253,Lorengau,100,6.38,PG,2022-01-26 01:08:21,-2.0226,147.2712,84.92,71
254,Asau,95,7.7,RO,2022-01-26 01:08:21,46.4333,26.4,22.28,77
255,Krasnoselkup,39,12.08,RU,2022-01-26 01:08:21,65.7,82.4667,-12.84,98
256,Namie,100,4.94,JP,2022-01-26 01:08:22,37.4833,141.0,40.77,72
257,Anshun,100,11.7,CN,2022-01-26 01:08:22,26.25,105.9333,48.81,96
258,Bandrele,0,4.61,YT,2022-01-26 01:08:22,-12.9067,45.1914,78.55,94
259,Arica,0,2.3,CL,2022-01-26 01:08:23,-18.475,-70.3042,68.23,73
260,Dodola,20,3.83,ET,2022-01-26 01:08:23,6.9833,39.1833,49.32,48
261,Khandyga,100,1.74,RU,2022-01-26 01:08:23,62.6667,135.6,-27.15,97
262,Kampene,100,1.32,CD,2022-01-26 01:08:24,-3.6,26.6667,67.08,99
263,Kasongo,100,2.42,CD,2022-01-26 01:08:24,-4.45,26.6667,66.43,96
264,Santa Rosalia,100,2.17,MX,2022-01-26 01:08:24,27.3167,-112.2833,64.63,43
265,Capim Grosso,100,5.03,BR,2022-01-26 01:08:25,-11.3811,-40.0128,70.45,88
266,Linhares,95,3.0,BR,2022-01-26 01:08:25,-19.3911,-40.0722,71.67,96
267,Tiarei,99,15.05,PF,2022-01-26 01:08:25,-17.5333,-149.3333,87.82,77
268,Clyde River,100,8.88,CA,2022-01-26 01:08:25,70.4692,-68.5914,-13.11,96
269,Iqaluit,100,2.19,CA,2022-01-26 01:08:26,63.7506,-68.5145,-28.95,98
270,Halifax,100,1.99,CA,2022-01-26 01:05:30,44.6453,-63.5724,37.47,96
271,Hervey Bay,100,1.7,AU,2022-01-26 01:08:26,-25.2986,152.8535,82.51,69
272,Dubbo,75,12.66,AU,2022-01-26 01:08:26,-32.25,148.6167,78.93,61
273,Saint Anthony,0,1.01,US,2022-01-26 01:08:27,45.0205,-93.218,-1.05,66
274,Tara,96,2.62,RU,2022-01-26 01:08:27,56.8944,74.371,-4.7,100
275,Atar,6,8.63,MR,2022-01-26 01:09:27,20.5169,-13.0499,68.13,34
276,Sarankhola,67,3.62,BD,2022-01-26 01:09:27,22.3082,89.7897,64.65,76
277,Segou,96,9.06,ML,2022-01-26 01:09:28,13.4317,-6.2157,69.58,14
278,Byron Bay,100,5.14,AU,2022-01-26 01:09:28,-28.65,153.6167,78.91,86
279,Ostuacan,74,2.98,MX,2022-01-26 01:09:28,17.4167,-93.3,69.37,97
280,Maragogi,89,8.75,BR,2022-01-26 01:09:29,-9.0122,-35.2225,79.86,76
281,Gubkinskiy,98,13.76,RU,2022-01-26 01:09:29,64.434,76.5026,-4.72,99
282,Oromocto,72,2.77,CA,2022-01-26 01:09:29,45.8351,-66.4792,15.94,87
283,Riyadh,0,10.2,SA,2022-01-26 01:09:01,24.6877,46.7219,57.34,40
284,Touros,100,12.73,BR,2022-01-26 01:09:30,-5.1989,-35.4608,81.5,76
